cms_entity_name,feature_year_t,target_year_t1,claims,beneficiaries,spending,avg_spending_per_claim,avg_spending_per_beneficiary,manufacturer_count,claims_lag_1,claims_growth_yoy,beneficiaries_lag_1,beneficiary_growth_yoy,spending_lag_1,spending_growth_yoy,avg_spending_per_claim_growth,years_observed_before_t,claims_rolling_mean_2y,claims_rolling_std_2y,spending_rolling_mean_2y,is_first_observation_year,prior_shortage_count,ever_shortage_before_t,years_since_last_shortage,therapeutic_category,is_single_manufacturer,mapping_status,primary_rxcui,shortage_next_year
NITROFURANTOIN,2022,2023,5343943.0,611143.0,264525212.16,49.5,432.84,1.0,5159669.0,0.0357,590069.0,0.0357,255403653.12,0.0357,0.0,4,5251806.0,130301.39,259964432.64,0,0,0,-1,Anti-Infective,1,unique,7454,0
NITROFURANTOIN,2023,2024,5528217.0,632217.0,273646771.2,49.5,432.84,1.0,5343943.0,0.0345,611143.0,0.0345,264525212.16,0.0345,0.0,5,5436080.0,130301.39,269085991.68,0,0,0,-1,Anti-Infective,1,unique,7454,0
FLUCONAZOLE,2018,2019,5068500.0,988500.0,7602750.0,1.5,7.69,5.0,5068500.0,0.0,988500.0,0.0,7602750.0,0.0,0.0,0,5068500.0,0.0,7602750.0,1,0,0,-1,Unclassified / General,0,unique,4450,0
FLUCONAZOLE,2019,2020,5271240.0,1028040.0,7906860.0,1.5,7.69,5.0,5068500.0,0.04,988500.0,0.04,7602750.0,0.04,0.0,1,5169870.0,143358.83,7754805.0,0,0,0,-1,Unclassified / General,0,unique,4450,0
FLUCONAZOLE,2020,2021,5473980.0,1067580.0,8210970.0,1.5,7.69,5.0,5271240.0,0.0385,1028040.0,0.0385,7906860.0,0.0385,0.0,2,5372610.0,143358.83,8058915.0,0,0,0,-1,Unclassified / General,0,unique,4450,0
FLUCONAZOLE,2021,2022,5676720.0,1107120.0,8515080.0,1.5,7.69,5.0,5473980.0,0.037,1067580.0,0.037,8210970.0,0.037,0.0,3,5575350.0,143358.83,8363025.0,0,0,0,-1,Unclassified / General,0,unique,4450,0
FLUCONAZOLE,2022,2023,5879460.0,1146660.0,8819190.0,1.5,7.69,5.0,5676720.0,0.0357,1107120.0,0.0357,8515080.0,0.0357,0.0,4,5778090.0,143358.83,8667135.0,0,0,0,-1,Unclassified / General,0,unique,4450,0
FLUCONAZOLE,2023,2024,6082200.0,1186200.0,9123300.0,1.5,7.69,5.0,5879460.0,0.0345,1146660.0,0.0345,8819190.0,0.0345,0.0,5,5980830.0,143358.83,8971245.0,0,0,0,-1,Unclassified / General,0,unique,4450,0
ACYCLOVIR,2018,2019,3127702.0,47702.0,10946957.0,3.5,229.49,7.0,3127702.0,0.0,47702.0,0.0,10946957.0,0.0,0.0,0,3127702.0,0.0,10946957.0,1,0,0,-1,Unclassified / General,0,unique,281,0
ACYCLOVIR,2019,2020,3252810.0,49610.0,11384835.28,3.5,229.49,7.0,3127702.0,0.04,47702.0,0.04,10946957.0,0.04,0.0,1,3190256.0,88464.72,11165896.14,0,0,0,-1,Unclassified / General,0,unique,281,0
ACYCLOVIR,2020,2021,3377918.0,51518.0,11822713.56,3.5,229.49,7.0,3252810.0,0.0385,49610.0,0.0385,11384835.28,0.0385,0.0,2,3315364.0,88464.72,11603774.42,0,0,0,-1,Unclassified / General,0,unique,281,0
ACYCLOVIR,2021,2022,3503026.0,53426.0,12260591.84,3.5,229.49,7.0,3377918.0,0.037,51518.0,0.037,11822713.56,0.037,0.0,3,3440472.0,88464.72,12041652.7,0,0,0,-1,Unclassified / General,0,unique,281,0
ACYCLOVIR,2022,2023,3628134.0,55334.0,12698470.12,3.5,229.49,7.0,3503026.0,0.0357,53426.0,0.0357,12260591.84,0.0357,0.0,4,3565580.0,88464.72,12479530.98,0,0,0,-1,Unclassified / General,0,unique,281,0
ACYCLOVIR,2023,2024,3753242.0,57242.0,13136348.4,3.5,229.49,7.0,3628134.0,0.0345,55334.0,0.0345,12698470.12,0.0345,0.0,5,3690688.0,88464.72,12917409.26,0,0,0,-1,Unclassified / General,0,unique,281,0
VANCOMYCIN,2018,2019,1028211.0,948211.0,12852637.5,12.5,13.55,4.0,1028211.0,0.0,948211.0,0.0,12852637.5,0.0,0.0,0,1028211.0,0.0,12852637.5,1,0,0,-1,Anti-Infective,0,unique,11124,0
VANCOMYCIN,2019,2020,1069339.0,986139.0,13366743.0,12.5,13.55,4.0,1028211.0,0.04,948211.0,0.04,12852637.5,0.04,0.0,1,1048775.0,29081.89,13109690.25,0,0,0,-1,Anti-Infective,0,unique,11124,0
VANCOMYCIN,2020,2021,1110467.0,1024067.0,13880848.5,12.5,13.55,4.0,1069339.0,0.0385,986139.0,0.0385,13366743.0,0.0385,0.0,2,1089903.0,29081.89,13623795.75,0,0,0,-1,Anti-Infective,0,unique,11124,0
VANCOMYCIN,2021,2022,1151596.0,1061996.0,14394954.0,12.5,13.55,4.0,1110467.0,0.037,1024067.0,0.037,13880848.5,0.037,0.0,3,1131031.5,29082.59,14137901.25,0,0,0,-1,Anti-Infective,0,unique,11124,0
VANCOMYCIN,2022,2023,1192724.0,1099924.0,14909059.5,12.5,13.55,4.0,1151596.0,0.0357,1061996.0,0.0357,14394954.0,0.0357,0.0,4,1172160.0,29081.89,14652006.75,0,0,0,-1,Anti-Infective,0,unique,11124,0
VANCOMYCIN,2023,2024,1233853.0,1137853.0,15423165.0,12.5,13.55,4.0,1192724.0,0.0345,1099924.0,0.0345,14909059.5,0.0345,0.0,5,1213288.5,29082.59,15166112.25,0,0,0,-1,Anti-Infective,0,unique,11124,0
GENTAMICIN,2018,2019,4318788.0,238788.0,170592126.0,39.5,714.41,5.0,4318788.0,0.0,238788.0,0.0,170592126.0,0.0,0.0,0,4318788.0,0.0,170592126.0,1,0,0,-1,Unclassified / General,0,unique,1596450,0
GENTAMICIN,2019,2020,4491539.0,248339.0,177415811.04,39.5,714.41,5.0,4318788.0,0.04,238788.0,0.04,170592126.0,0.04,0.0,1,4405163.5,122153.4,174003968.52,0,0,0,-1,Unclassified / General,0,unique,1596450,0
GENTAMICIN,2020,2021,4664291.0,257891.0,184239496.08,39.5,714.41,5.0,4491539.0,0.0385,248339.0,0.0385,177415811.04,0.0385,0.0,2,4577915.0,122154.11,180827653.56,0,0,0,-1,Unclassified / General,0,unique,1596450,0
GENTAMICIN,2021,2022,4837042.0,267442.0,191063181.12,39.5,714.41,5.0,4664291.0,0.037,257891.0,0.037,184239496.08,0.037,0.0,3,4750666.5,122153.4,187651338.6,0,0,0,-1,Unclassified / General,0,unique,1596450,0
GENTAMICIN,2022,2023,5009794.0,276994.0,197886866.16,39.5,714.41,5.0,4837042.0,0.0357,267442.0,0.0357,191063181.12,0.0357,0.0,4,4923418.0,122154.11,194475023.64,0,0,0,-1,Unclassified / General,0,unique,1596450,0
GENTAMICIN,2023,2024,5182545.0,286545.0,204710551.2,39.5,714.41,5.0,5009794.0,0.0345,276994.0,0.0345,197886866.16,0.0345,0.0,5,5096169.5,122153.4,201298708.68,0,0,0,-1,Unclassified / General,0,unique,1596450,0
CEFDINIR,2018,2019,883932.0,803932.0,29611722.0,33.5,36.83,5.0,883932.0,0.0,803932.0,0.0,29611722.0,0.0,0.0,0,883932.0,0.0,29611722.0,1,0,0,-1,Unclassified / General,0,unique,25037,0
CEFDINIR,2019,2020,919289.0,836089.0,30796190.88,33.5,36.83,5.0,883932.0,0.04,803932.0,0.04,29611722.0,0.04,0.0,1,901610.5,25001.17,30203956.44,0,0,0,-1,Unclassified / General,0,unique,25037,0
CEFDINIR,2020,2021,954646.0,868246.0,31980659.76,33.5,36.83,5.0,919289.0,0.0385,836089.0,0.0385,30796190.88,0.0385,0.0,2,936967.5,25001.17,31388425.32,0,0,0,-1,Unclassified / General,0,unique,25037,0
CEFDINIR,2021,2022,990003.0,900403.0,33165128.64,33.5,36.83,5.0,954646.0,0.037,868246.0,0.037,31980659.76,0.037,0.0,3,972324.5,25001.17,32572894.2,0,0,0,-1,Unclassified / General,0,unique,25037,0
CEFDINIR,2022,2023,1025361.0,932561.0,34349597.52,33.5,36.83,5.0,990003.0,0.0357,900403.0,0.0357,33165128.64,0.0357,0.0,4,1007682.0,25001.88,33757363.08,0,0,0,-1,Unclassified / General,0,unique,25037,0
CEFDINIR,2023,2024,1060718.0,964718.0,35534066.4,33.5,36.83,5.0,1025361.0,0.0345,932561.0,0.0345,34349597.52,0.0345,0.0,5,1043039.5,25001.17,34941831.96,0,0,0,-1,Unclassified / General,0,unique,25037,0
CEFUROXIME,2018,2019,4732115.0,652115.0,78079897.5,16.5,119.73,4.0,4732115.0,0.0,652115.0,0.0,78079897.5,0.0,0.0,0,4732115.0,0.0,78079897.5,1,0,0,-1,Unclassified / General,0,unique,2194,0
CEFUROXIME,2019,2020,4921399.0,678199.0,81203093.4,16.5,119.73,4.0,4732115.0,0.04,652115.0,0.04,78079897.5,0.04,0.0,1,4826757.0,133844.0,79641495.45,0,0,0,-1,Unclassified / General,0,unique,2194,0
CEFUROXIME,2020,2021,5110684.0,704284.0,84326289.3,16.5,119.73,4.0,4921399.0,0.0385,678199.0,0.0385,81203093.4,0.0385,0.0,2,5016041.5,133844.71,82764691.35,0,0,0,-1,Unclassified / General,0,unique,2194,0
CEFUROXIME,2021,2022,5299968.0,730368.0,87449485.2,16.5,119.73,4.0,5110684.0,0.037,704284.0,0.037,84326289.3,0.037,0.0,3,5205326.0,133844.0,85887887.25,0,0,0,-1,Unclassified / General,0,unique,2194,0
CEFUROXIME,2022,2023,5489253.0,756453.0,90572681.1,16.5,119.73,4.0,5299968.0,0.0357,730368.0,0.0357,87449485.2,0.0357,0.0,4,5394610.5,133844.71,89011083.15,0,0,0,-1,Unclassified / General,0,unique,2194,0
CEFUROXIME,2023,2024,5678538.0,782538.0,93695877.0,16.5,119.73,4.0,5489253.0,0.0345,756453.0,0.0345,90572681.1,0.0345,0.0,5,5583895.5,133844.71,92134279.05,0,0,0,-1,Unclassified / General,0,unique,2194,0
AZTREONAM,2018,2019,372789.0,292789.0,15097954.5,40.5,51.57,6.0,372789.0,0.0,292789.0,0.0,15097954.5,0.0,0.0,0,372789.0,0.0,15097954.5,1,0,0,-1,Unclassified / General,0,unique,1272,0
AZTREONAM,2019,2020,387700.0,304500.0,15701872.68,40.5,51.57,6.0,372789.0,0.04,292789.0,0.04,15097954.5,0.04,0.0,1,380244.5,10543.67,15399913.59,0,0,0,-1,Unclassified / General,0,unique,1272,0
AZTREONAM,2020,2021,402612.0,316212.0,16305790.86,40.5,51.57,6.0,387700.0,0.0385,304500.0,0.0385,15701872.68,0.0385,0.0,2,395156.0,10544.38,16003831.77,0,0,0,-1,Unclassified / General,0,unique,1272,0
AZTREONAM,2021,2022,417523.0,327923.0,16909709.04,40.5,51.57,6.0,402612.0,0.037,316212.0,0.037,16305790.86,0.037,0.0,3,410067.5,10543.67,16607749.95,0,0,0,-1,Unclassified / General,0,unique,1272,0
AZTREONAM,2022,2023,432435.0,339635.0,17513627.22,40.5,51.57,6.0,417523.0,0.0357,327923.0,0.0357,16909709.04,0.0357,0.0,4,424979.0,10544.38,17211668.13,0,0,0,-1,Unclassified / General,0,unique,1272,0
AZTREONAM,2023,2024,447346.0,351346.0,18117545.4,40.5,51.57,6.0,432435.0,0.0345,339635.0,0.0345,17513627.22,0.0345,0.0,5,439890.5,10543.67,17815586.31,0,0,0,-1,Unclassified / General,0,unique,1272,0
PENICILLIN,2018,2019,2330616.0,250616.0,40785780.0,17.5,162.74,1.0,2330616.0,0.0,250616.0,0.0,40785780.0,0.0,0.0,0,2330616.0,0.0,40785780.0,1,0,0,-1,Anti-Infective,1,unmapped,,0
PENICILLIN,2019,2020,2423840.0,260640.0,42417211.2,17.5,162.74,1.0,2330616.0,0.04,250616.0,0.04,40785780.0,0.04,0.0,1,2377228.0,65919.32,41601495.6,0,0,0,-1,Anti-Infective,1,unmapped,,0
PENICILLIN,2020,2021,2517065.0,270665.0,44048642.4,17.5,162.74,1.0,2423840.0,0.0385,260640.0,0.0385,42417211.2,0.0385,0.0,2,2470452.5,65920.03,43232926.8,0,0,0,-1,Anti-Infective,1,unmapped,,0
PENICILLIN,2021,2022,2610289.0,280689.0,45680073.6,17.5,162.74,1.0,2517065.0,0.037,270665.0,0.037,44048642.4,0.037,0.0,3,2563677.0,65919.32,44864358.0,0,0,0,-1,Anti-Infective,1,unmapped,,0
PENICILLIN,2022,2023,2703514.0,290714.0,47311504.8,17.5,162.74,1.0,2610289.0,0.0357,280689.0,0.0357,45680073.6,0.0357,0.0,4,2656901.5,65920.03,46495789.2,0,0,0,-1,Anti-Infective,1,unmapped,,1
PENICILLIN,2023,2024,2796739.0,300739.0,48942936.0,17.5,162.74,1.0,2703514.0,0.0345,290714.0,0.0345,47311504.8,0.0345,0.0,5,2750126.5,65920.03,48127220.4,0,4,1,0,Anti-Infective,1,unmapped,,0
MEROPENEM,2018,2019,4508050.0,428050.0,6762075.0,1.5,15.8,3.0,4508050.0,0.0,428050.0,0.0,6762075.0,0.0,0.0,0,4508050.0,0.0,6762075.0,1,0,0,-1,Unclassified / General,0,unique,29561,0
MEROPENEM,2019,2020,4688372.0,445172.0,7032558.0,1.5,15.8,3.0,4508050.0,0.04,428050.0,0.04,6762075.0,0.04,0.0,1,4598211.0,127506.91,6897316.5,0,0,0,-1,Unclassified / General,0,unique,29561,0
MEROPENEM,2020,2021,4868694.0,462294.0,7303041.0,1.5,15.8,3.0,4688372.0,0.0385,445172.0,0.0385,7032558.0,0.0385,0.0,2,4778533.0,127506.91,7167799.5,0,0,0,-1,Unclassified / General,0,unique,29561,0
MEROPENEM,2021,2022,5049016.0,479416.0,7573524.0,1.5,15.8,3.0,4868694.0,0.037,462294.0,0.037,7303041.0,0.037,0.0,3,4958855.0,127506.91,7438282.5,0,0,0,-1,Unclassified / General,0,unique,29561,0
MEROPENEM,2022,2023,5229338.0,496537.0,7844007.0,1.5,15.8,3.0,5049016.0,0.0357,479416.0,0.0357,7573524.0,0.0357,0.0,4,5139177.0,127506.91,7708765.5,0,0,0,-1,Unclassified / General,0,unique,29561,0
